timestamp,datetime,open,high,low,close,volume
1773561600000,2026-03-15 08:00:00 UTC,71453.59000000,71736.72000000,71453.59000000,71717.50000000,551.40345000
1773565200000,2026-03-15 09:00:00 UTC,71717.50000000,71940.49000000,71713.90000000,71791.10000000,640.93656000
1773568800000,2026-03-15 10:00:00 UTC,71791.11000000,71919.19000000,71714.37000000,71783.09000000,525.01350000
1773572400000,2026-03-15 11:00:00 UTC,71783.10000000,71888.00000000,71659.71000000,71839.42000000,452.79199000
1773576000000,2026-03-15 12:00:00 UTC,71839.41000000,71839.42000000,71560.21000000,71610.33000000,324.76249000
1773579600000,2026-03-15 13:00:00 UTC,71610.33000000,71679.81000000,71263.99000000,71607.54000000,1108.48189000
1773583200000,2026-03-15 14:00:00 UTC,71607.54000000,71635.56000000,71341.68000000,71622.03000000,452.09243000
1773586800000,2026-03-15 15:00:00 UTC,71622.04000000,71626.00000000,71410.00000000,71481.24000000,210.01259000
1773590400000,2026-03-15 16:00:00 UTC,71481.24000000,71586.75000000,71320.08000000,71437.35000000,302.61771000
1773594000000,2026-03-15 17:00:00 UTC,71437.35000000,71989.93000000,71409.74000000,71819.95000000,365.80062000
1773597600000,2026-03-15 18:00:00 UTC,71819.96000000,71885.55000000,71321.87000000,71390.53000000,321.10675000
1773601200000,2026-03-15 19:00:00 UTC,71390.53000000,71529.41000000,71338.67000000,71506.20000000,169.97766000
