timestamp,datetime,open,high,low,close,volume
1773561600000,2026-03-15 08:00:00 UTC,2105.64000000,2113.00000000,2105.64000000,2112.93000000,4131.64640000
1773565200000,2026-03-15 09:00:00 UTC,2112.93000000,2123.44000000,2112.83000000,2117.20000000,10018.39240000
1773568800000,2026-03-15 10:00:00 UTC,2117.20000000,2121.49000000,2114.32000000,2119.14000000,3826.03290000
1773572400000,2026-03-15 11:00:00 UTC,2119.14000000,2121.27000000,2115.04000000,2119.63000000,3043.63510000
1773576000000,2026-03-15 12:00:00 UTC,2119.63000000,2119.83000000,2108.20000000,2109.59000000,4978.94060000
1773579600000,2026-03-15 13:00:00 UTC,2109.60000000,2112.76000000,2086.34000000,2097.40000000,27709.34300000
1773583200000,2026-03-15 14:00:00 UTC,2097.39000000,2099.20000000,2086.60000000,2096.99000000,7654.67600000
1773586800000,2026-03-15 15:00:00 UTC,2096.99000000,2097.15000000,2090.02000000,2093.79000000,5532.45870000
1773590400000,2026-03-15 16:00:00 UTC,2093.79000000,2098.86000000,2088.84000000,2091.56000000,4230.61560000
1773594000000,2026-03-15 17:00:00 UTC,2091.57000000,2117.86000000,2091.20000000,2110.77000000,12688.58450000
1773597600000,2026-03-15 18:00:00 UTC,2110.77000000,2113.53000000,2094.32000000,2099.14000000,7844.05540000
1773601200000,2026-03-15 19:00:00 UTC,2099.15000000,2112.77000000,2096.47000000,2111.71000000,3992.03910000
